,GameID,Player 1,Player 2,Winner,Starting Point,Position,Step
0,1,X,O,X,"[0, 1]",middle,9
1,2,X,O,X,"[1, 0]",middle,7
2,3,X,O,X,"[0, 0]",corner,5
3,4,X,O,X,"[1, 0]",middle,7
4,5,X,O,X,"[2, 2]",corner,7
5,6,X,O,Draw,"[2, 0]",corner,9
6,7,X,O,X,"[0, 2]",corner,7
7,8,X,O,Draw,"[1, 2]",middle,9
8,9,X,O,Draw,"[2, 0]",corner,9
9,10,X,O,O,"[1, 0]",middle,6
10,11,X,O,O,"[0, 2]",corner,6
11,12,X,O,X,"[0, 2]",corner,9
12,13,X,O,O,"[0, 1]",middle,8
13,14,X,O,X,"[2, 2]",corner,7
14,15,X,O,X,"[2, 0]",corner,9
15,16,X,O,Draw,"[0, 2]",corner,9
16,17,X,O,X,"[0, 0]",corner,5
17,18,X,O,X,"[1, 1]",center,9
18,19,X,O,X,"[1, 2]",middle,5
19,20,X,O,X,"[1, 0]",middle,9
20,21,X,O,X,"[1, 1]",center,7
21,22,X,O,X,"[0, 2]",corner,7
22,23,X,O,X,"[0, 1]",middle,9
23,24,X,O,X,"[0, 1]",middle,9
24,25,X,O,O,"[1, 0]",middle,8
25,26,X,O,Draw,"[0, 1]",middle,9
26,27,X,O,O,"[1, 0]",middle,8
27,28,X,O,X,"[2, 2]",corner,7
28,29,X,O,X,"[0, 1]",middle,9
29,30,X,O,X,"[2, 2]",corner,7
30,31,X,O,Draw,"[2, 0]",corner,9
31,32,X,O,O,"[0, 1]",middle,8
32,33,X,O,O,"[1, 1]",center,6
33,34,X,O,X,"[1, 1]",center,7
34,35,X,O,X,"[2, 2]",corner,9
35,36,X,O,O,"[2, 2]",corner,6
36,37,X,O,O,"[0, 1]",middle,8
37,38,X,O,X,"[0, 0]",corner,9
38,39,X,O,X,"[2, 0]",corner,5
39,40,X,O,X,"[2, 2]",corner,9
40,41,X,O,X,"[0, 1]",middle,5
41,42,X,O,X,"[1, 2]",middle,7
42,43,X,O,O,"[2, 2]",corner,8
43,44,X,O,X,"[1, 0]",middle,7
44,45,X,O,X,"[0, 2]",corner,7
45,46,X,O,X,"[1, 2]",middle,7
46,47,X,O,X,"[1, 1]",center,9
47,48,X,O,O,"[0, 1]",middle,8
48,49,X,O,O,"[2, 1]",middle,8
49,50,X,O,X,"[1, 2]",middle,7
50,51,X,O,X,"[2, 2]",corner,7
51,52,X,O,X,"[2, 0]",corner,7
52,53,X,O,O,"[1, 2]",middle,6
53,54,X,O,X,"[2, 0]",corner,9
54,55,X,O,X,"[0, 0]",corner,5
55,56,X,O,X,"[0, 0]",corner,7
56,57,X,O,X,"[0, 2]",corner,9
57,58,X,O,X,"[1, 0]",middle,9
58,59,X,O,O,"[2, 1]",middle,8
59,60,X,O,X,"[2, 0]",corner,7
60,61,X,O,X,"[0, 2]",corner,7
61,62,X,O,Draw,"[1, 1]",center,9
62,63,X,O,O,"[1, 1]",center,8
63,64,X,O,X,"[1, 2]",middle,7
64,65,X,O,X,"[1, 1]",center,9
65,66,X,O,O,"[2, 0]",corner,8
66,67,X,O,X,"[2, 0]",corner,9
67,68,X,O,X,"[1, 1]",center,7
68,69,X,O,Draw,"[0, 1]",middle,9
69,70,X,O,X,"[0, 1]",middle,9
